,best path,worst path,mean path,SD,avg runtime
10,7503.099999999999,8827.76,7996.160500000001,415.1928547973219,0.34003602266311644
15,7486.31,8603.54,8007.3595000000005,313.2174317702482,1.4990859270095824
20,7486.3099999999995,8866.119999999999,8094.885999999999,458.91889308896396,1.1015154719352722
