,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,10321.875000000004,10240.4055,9899.444,9708.802,9717.198500000002,9497.4875,9647.691,9551.091000000004,9818.027,9887.8545,9661.064999999999,9529.246500000003,9393.640500000001,9693.955999999998,9778.908499999998,9587.208000000002,9565.197499999998,9512.949000000002,9514.176500000001,9666.678,9517.69,9380.2905,9464.218499999999,9502.946,9365.882999999998,9418.167,9456.2335,9174.697999999999,9359.296000000002,9615.136499999999,9314.173999999995,9786.2785,9431.843000000003,9449.366,9584.446,9538.5515,9344.431,9340.922499999999,9608.535999999998,9320.98,9423.7155,9593.558,9490.313999999998,9407.116000000002,9427.726499999999,9347.357999999997,9470.6705,9709.775000000001,9443.698499999999,9290.223,9358.1515,9348.579999999998,9521.4925,9771.590500000002,9475.9055,9506.564,9480.812500000004,9582.727500000003,9657.228500000001,9381.685500000001,9608.83,9462.7125,9395.033,9489.355500000001,9381.007000000001,9267.691499999997,9331.572000000002,9551.651000000002,9567.015000000003,9578.200499999997,9503.719000000001,9566.890000000001,9627.518500000002,9376.630000000001,9328.545,9304.024500000001,9174.9795,9418.4555,9519.3,9480.599999999999,9665.214499999998,9775.592,9659.789500000003,9640.804500000002,9484.5995,9382.438,9377.937,9342.227000000003,9217.891,9255.353,9408.902,9512.604000000001,9578.704,9620.033,9376.554999999998,9377.716999999999,9496.872000000001,9434.5515,9597.228500000001,9607.719500000001
15,10296.022500000003,9917.255,9788.304500000002,9488.347,9368.6565,9204.4755,9126.413499999999,8947.747000000001,9067.922,8875.836500000001,8571.5305,8483.4265,8488.183500000001,8585.446,8445.307999999999,8482.4945,8409.044,8238.797499999999,8394.6505,8324.881,8240.549,8406.9585,8360.430499999999,8223.6015,8274.344000000001,8177.908999999998,8313.375,8150.3324999999995,8349.675,8170.297500000001,8382.842999999999,8185.2119999999995,8398.930499999999,8424.994499999999,8114.8915,8120.443000000001,8187.623000000001,8208.228,8384.2985,8328.956,8194.412,8273.583,8098.7654999999995,8110.255999999999,8274.916500000001,8359.204500000002,8252.6205,8140.6235,8113.4715,8323.807499999999,8136.023999999999,8287.003,8133.8279999999995,8056.806999999999,8143.197999999999,8180.510499999999,8388.713,8222.921,8280.181999999999,8102.186,8152.4924999999985,8177.522999999999,8262.7545,8170.1225,8123.245500000002,8193.0515,8161.264499999999,8216.681,8253.653,8132.748999999999,8131.702500000001,8056.008,8175.749500000001,8052.945,8122.1855,8115.652,8422.74,8494.470500000001,8195.583,8217.6335,8052.945,8254.766500000002,8105.2645,8150.853499999999,8044.084999999999,8191.441499999999,8035.674499999999,8180.213000000001,8177.424499999999,8326.651,8093.2885,8173.451000000001,8204.6165,8035.674499999999,8095.736,8147.3054999999995,8073.8279999999995,8072.4389999999985,8129.776,8113.3895
20,10010.7815,10077.134999999998,9947.223500000002,9593.521,9408.563999999998,9187.252499999999,9411.289999999999,8939.026,9114.804,9028.3495,8770.5945,8596.588,8463.723000000002,8532.721500000001,8569.250000000004,8533.405500000003,8427.1205,8571.1335,8438.732,8384.833499999997,8468.798,8386.552,8344.647999999997,8357.65,8243.0645,8249.214000000002,8239.626000000002,8361.439499999999,8257.483,8190.547499999999,8197.128,8315.272,8287.063000000002,8215.6385,8263.5705,8295.667,8309.8925,8297.961,8355.4255,8453.0995,8262.448,8162.473,8178.955,8369.219500000001,8138.953499999999,8224.0895,8125.912999999999,8279.9065,8242.621000000001,8274.424500000001,8119.008500000001,8195.263,8355.374500000002,8302.8955,8160.9485,8248.948,8364.977499999999,8185.647499999999,8323.249499999998,8241.1085,8184.053000000002,8194.9765,8195.263,8307.949499999999,8441.410499999998,8358.884000000002,8149.956000000001,8400.689,8213.459499999999,8238.3755,8185.416499999999,8261.539,8451.186500000002,8213.4595,8504.141,8264.742,8160.9485,8386.107,8213.459499999999,8117.548,8281.559000000001,8292.005499999997,8183.9395,8210.8115,8161.6425,8300.5995,8238.422999999999,8279.674500000001,8130.5885,8244.346999999998,8291.141000000001,8306.594500000001,8117.548,8297.9005,8231.823,8205.043000000001,8231.5825,8196.094,8428.545999999998,8176.0059999999985
