,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,28330.8195,29432.2955,29637.556000000004,29608.248999999993,29656.152500000004,29696.116499999996,29281.337000000007,30097.020999999997,29849.315499999997,29846.564500000008,30365.945499999994,29841.958000000002,30055.7375,30231.919,29911.5715,29785.3875,30075.11349999999,30395.9165,29956.0225,30332.371499999997,30975.3495,30288.123499999998,30601.191500000004,30553.258500000004,30550.525500000007,30245.347499999996,30020.513000000006,29270.365500000004,29450.416000000005,30003.836,30088.994999999995,30601.244999999995,29772.007499999996,29386.794999999995,29961.491499999996,29963.415000000008,29821.096999999998,29615.050499999994,29767.074499999995,30383.732499999995,29994.596999999998,29637.355000000003,29723.1855,30000.0805,29996.193,30128.169,30002.699,29920.656000000006,29808.377,29976.002500000002,30064.470999999998,29856.57,30212.269,29893.705999999995,29474.943,30377.183500000006,30122.905000000006,29958.265000000003,30198.329000000005,29968.5,30230.084500000004,30174.692000000003,30908.789000000008,30848.645500000006,30321.333999999995,30411.40750000001,30455.586499999998,30360.844000000005,30667.873500000005,29555.8995,29648.327,30116.4735,30313.953499999996,30213.748499999998,30766.913500000002,30105.208499999997,30165.9465,29700.9385,29690.127000000008,30097.144499999995,30121.4665,29429.923499999997,30270.796499999997,30146.714,30323.527000000002,30107.216999999997,29988.811000000005,30377.067000000003,30703.016499999998,30528.634000000002,30644.026500000007,30648.955500000004,30483.9015,30290.250999999997,30370.698500000006,30341.178000000007,29782.16550000001,30193.329000000005,30179.343500000006,29975.232499999995
15,27790.7085,27906.796500000004,27344.4115,27461.217000000004,26556.7875,26502.332499999997,26083.952500000003,25586.4195,25486.445499999998,25169.961000000003,24457.080499999996,24748.648500000003,24659.211500000005,24433.2555,23657.148999999998,23323.437,23573.615,23100.509,23005.357,23043.108,22882.4005,22513.963499999998,22468.532500000005,22578.702500000007,22113.560499999996,22371.9265,21582.486999999997,21687.785,21469.703999999998,21465.6,21706.2085,21357.376,21001.0455,21125.54,21458.344500000003,21068.0835,20977.287000000004,20709.755000000005,20621.5525,20382.646000000004,20464.1395,20622.2535,20108.335499999997,20783.990500000004,19923.476499999997,20161.335499999997,20190.951,20127.7955,19905.435999999998,20280.064,19933.2895,19741.176499999994,19802.914999999997,19577.988999999998,19547.754,19162.9785,19584.6355,19615.498,19103.054,19685.482,19412.164,19439.007999999994,19100.886000000002,19223.0125,19109.352499999997,19160.423499999994,18749.2325,18917.221999999998,18883.573,19217.549000000003,18925.7105,18817.1985,18754.862,18772.257999999998,18712.510000000002,18622.3935,18553.158499999998,18401.627500000002,18418.483999999997,18456.792,18288.823,18255.292000000005,18331.873000000003,18288.907499999998,18210.035,18230.2105,18328.736500000003,18056.8215,18038.0495,18111.0875,18431.638,18039.23,18116.525999999998,17989.259,18272.718499999995,18158.102000000003,17945.130000000005,17838.585499999997,17970.172500000004,18070.826
20,26948.760499999993,28323.644,27644.541500000003,27081.719499999996,26636.144500000002,26112.4005,26023.5025,25944.563000000002,25584.69,25073.664,25068.011,24900.119499999993,24692.572999999997,24893.348999999995,24147.517000000003,23850.476,23715.922999999995,23797.761499999997,23801.682,23283.5265,23269.183999999997,23265.279499999997,23034.084000000003,23244.274,23101.459,22719.4325,22300.254999999997,22017.982999999997,22442.644999999997,22334.707000000002,22209.480499999998,21965.0515,21886.015499999998,21732.201500000003,21412.7285,21219.3195,21354.2345,21281.445,21138.438000000002,21287.726499999997,21159.401999999995,21069.7045,20985.4865,20796.4035,20957.0375,20494.587999999996,20512.829,20594.539999999997,20412.391000000003,20762.480499999998,20350.634000000005,20268.057,20278.665,20196.154999999995,20126.922000000006,19745.8205,19884.2615,20113.782499999994,19855.587999999996,20028.696,19434.836499999998,19935.9955,19311.911500000002,19479.828500000003,19583.5575,19456.250500000002,19259.2065,19156.572999999997,18900.904000000002,18979.545000000002,18899.540000000005,18974.3345,19059.113999999998,18758.548000000003,19078.821000000004,18817.1705,18934.5045,18874.0955,18836.903499999997,18736.8825,18993.812999999995,18713.114,18431.506,18457.815999999995,18515.284000000003,18620.430999999997,18442.8575,18629.3205,18420.142,18258.78,18554.390000000003,18511.686,18270.134499999996,18267.566000000003,18371.9845,18181.063999999995,18249.125999999997,18067.296000000002,17811.741499999996,18195.010000000002
